(S(NP(NP(DT a)(NN boy))(PP(IN with)(NP(DT a)(NN telescope))))(VP(VBD saw)(NP(DT a)(NN girl))))
0.000658161979834
DT # 0 # 0 # 0.666667 # 0.000987
DT # 3 # 3 # 0.666667 # 0.000987
DT # 6 # 6 # 0.666667 # 0.000987
IN # 2 # 2 # 1.000000 # 0.000658
NN # 1 # 1 # 0.333333 # 0.001974
NN # 4 # 4 # 0.333333 # 0.001974
NN # 7 # 7 # 0.333333 # 0.001974
NP # 0 # 1 # 0.190476 # 0.003455
NP # 0 # 4 # 0.005183 # 0.126984
NP # 3 # 4 # 0.190476 # 0.003455
NP # 6 # 7 # 0.190476 # 0.003455
PP # 2 # 4 # 0.190476 # 0.003455
S # 0 # 7 # 0.000658 # 1.000000
VBD # 5 # 5 # 1.000000 # 0.000658
VP # 5 # 7 # 0.126984 # 0.005183
